TextName,Length,SWD whole text,Window SWD,Genre,Author Name,Author Gender,Title,Date,title,Decade,Time Periode,words,sound words,sound word density (old),AnnotationType,File Name Plain Text,File Name automatically suspense annotated,File Name XML not annotated,File Name automatically sound annotated,File Name manually sound annotated or corrected dic-annotated
32Austen1811_pre,115443,1.654.496,2.551.731.041,Other,"Austen, Jane",Female,Sense and Sensibility,1811,Sense and Sensibility,1810-19,1790-1849,119949,191,0.16,automated,32Austen1811.txt,32Austen1811_autotagged.txt,32Austen1811.xml,32Austen1811_pre.xml,-
221Dickens1833_pre,261390,3.756.838,4.322.479.468,Other,"Dickens, Charles",Male,Sketches by Boz,1833,Sketches by Boz,1830-39,1790-1849,258623,982,0.38,automated,221Dickens1833.txt,221Dickens1833_autotagged.txt,221Dickens1833.xml,221Dickens1833_pre.xml,-
392James1903_pre,158088,2.176.003,2.622.038.883,Other,"James, Henry",Male,The Ambassadors,1903,The Ambassadors,1900-1909,1850-1915,165025,345,0.21,automated,392James1903.txt,392James1903_autotagged.txt,392James1903.xml,392James1903_pre.xml,-
Lewis_Anaconda_20.01,19045,3.938.041,5.223.248.431,Gothic,"Lewis, Matthew Gregory",Male,The Anaconda,1808,The Anaconda,1800-09,1790-1849,18996,75,0.39,manual,841Lewis1808.txt,841Lewis1808_autotagged.txt,841Lewis1808.xml,-,Lewis_Anaconda_20.01.xml
231Chesney1871_pre,21600,4.212.963,4.811.325.819,Other,"Chesney, George Tomkyns",Male,The Battle of Dorking,1871,The Battle of Dorking,1870-79,1850-1915,21758,91,0.42,automated,231Chesney1871.txt,231Chesney1871_autotagged.txt,231Chesney1871.xml,231Chesney1871_pre.xml,-
ConanD_Brazilian_20.01,8187,7.939.416,9.761.324.304,Gothic,"Doyle, Arthur Conan",Male,The Brazilian Cat,1898,The Brazilian Cat,1890-99,1850-1915,8148,65,0.8,manual,Conan_Doyle_The_Brazilian_Cat1898.txt,-,Conan_Doyle_The_Brazilian_Cat1898.xml,-,ConanD_Brazilian_20.01.xml
531Meredith1879_pre,184462,1.886.567,2.451.118.206,Other,"Meredith, George",Male,The Egoist,1879,The Egoist,1870-79,1850-1915,188883,348,0.18,automated,531Meredith1879.txt,531Meredith1879_autotagged_double.txt,531Meredith1879.xml,531Meredith1879_pre.xml,-
882Machen1904_pre,16861,4.210.901,5.272.329.377,Gothic,"Machen, Arthur",Male,The Great God Pan,1904,The Great God Pan,1900-1909,1850-1915,17574,71,0.4,automated,882Machen1904.txt,882Machen1904_autotagged.txt,882Machen1904.xml,882Machen1904_pre.xml,-
Yonge_The_Heir_pre,228857,2.936.331,3.410.932.871,Other,"Yonge, Charlotte Mary",Female,The Heir of Redclyffe,1853,The Heir of Redclyffe,1850-59,1850-1915,235552,673,0.29,manual,Yonge_The_Heir.txt,-,Yonge_The_Heir.xml,Yonge_The_Heir_pre.xml,Yonge_20_01.xml
Doyle_20_01.,62830,1.989.495,4.061.445.079,Gothic,"Doyle, Arthur Conan",Male,The Hound of the Baskervilles,1902,The Hound of the Baskervilles,1900-1909,1850-1915,59931,125,0.21,manual,381Doyle1902.txt,381Doyle1902_autotagged_double.txt,381Doyle1902.xml,-,Doyle_20_01.xml
1391Wells1897_for_dic22.01,50357,7.645.412,7.865.047.427,Other,"Wells, Herbert George",Male,The Invisible Man,1897,The Invisible Man,1890-99,1850-1915,49808,385,0.77,dictionary_based,1391Wells1897.txt,1391Wells1897_autotagged.txt,1391Wells1897.xml,-,1391Wells1897_for_dic22.01.xml
1392Wells1896_pre,42323,8.529.641,8.794.969.661,Gothic,"Wells, Herbert George",Male,The Island of Doctor Moreau,1896,The Island of Doctor Moreau,1890-99,1850-1915,44070,363,0.82,automated,1392Wells1896.txt,1392Wells1896_autotagged.txt,1392Wells1896.xml,1392Wells1896_pre.xml,-
